catalog_row,A,B,C,D,E,F,pathname,selected
40,BUR-BUR-MER-AKYAKA2,BURDUR2,DEBI,01May2025,30Minute,Q10,/BUR-BUR-MER-AKYAKA2/BURDUR2/DEBI/01May2025/30Minute/Q10/,False
41,BUR-BUR-MER-AKYAKA2,BURDUR2,DEBI,01May2025,30Minute,Q100,/BUR-BUR-MER-AKYAKA2/BURDUR2/DEBI/01May2025/30Minute/Q100/,False
42,BUR-BUR-MER-AKYAKA2,BURDUR2,DEBI,01May2025,30Minute,Q1000,/BUR-BUR-MER-AKYAKA2/BURDUR2/DEBI/01May2025/30Minute/Q1000/,False
43,BUR-BUR-MER-AKYAKA2,BURDUR2,DEBI,01May2025,30Minute,Q2,/BUR-BUR-MER-AKYAKA2/BURDUR2/DEBI/01May2025/30Minute/Q2/,False
44,BUR-BUR-MER-AKYAKA2,BURDUR2,DEBI,01May2025,30Minute,Q25,/BUR-BUR-MER-AKYAKA2/BURDUR2/DEBI/01May2025/30Minute/Q25/,False
45,BUR-BUR-MER-AKYAKA2,BURDUR2,DEBI,01May2025,30Minute,Q5,/BUR-BUR-MER-AKYAKA2/BURDUR2/DEBI/01May2025/30Minute/Q5/,False
46,BUR-BUR-MER-AKYAKA2,BURDUR2,DEBI,01May2025,30Minute,Q50,/BUR-BUR-MER-AKYAKA2/BURDUR2/DEBI/01May2025/30Minute/Q50/,False
47,BUR-BUR-MER-AKYAKA2,BURDUR2,DEBI,01May2025,30Minute,Q500,/BUR-BUR-MER-AKYAKA2/BURDUR2/DEBI/01May2025/30Minute/Q500/,False
48,BUR-BUR-MER-AKYAKA3,BURDUR2,DEBI,01May2025,30Minute,Q10,/BUR-BUR-MER-AKYAKA3/BURDUR2/DEBI/01May2025/30Minute/Q10/,False
49,BUR-BUR-MER-AKYAKA3,BURDUR2,DEBI,01May2025,30Minute,Q100,/BUR-BUR-MER-AKYAKA3/BURDUR2/DEBI/01May2025/30Minute/Q100/,False
50,BUR-BUR-MER-AKYAKA3,BURDUR2,DEBI,01May2025,30Minute,Q1000,/BUR-BUR-MER-AKYAKA3/BURDUR2/DEBI/01May2025/30Minute/Q1000/,False
51,BUR-BUR-MER-AKYAKA3,BURDUR2,DEBI,01May2025,30Minute,Q2,/BUR-BUR-MER-AKYAKA3/BURDUR2/DEBI/01May2025/30Minute/Q2/,False
52,BUR-BUR-MER-AKYAKA3,BURDUR2,DEBI,01May2025,30Minute,Q25,/BUR-BUR-MER-AKYAKA3/BURDUR2/DEBI/01May2025/30Minute/Q25/,False
53,BUR-BUR-MER-AKYAKA3,BURDUR2,DEBI,01May2025,30Minute,Q5,/BUR-BUR-MER-AKYAKA3/BURDUR2/DEBI/01May2025/30Minute/Q5/,False
54,BUR-BUR-MER-AKYAKA3,BURDUR2,DEBI,01May2025,30Minute,Q50,/BUR-BUR-MER-AKYAKA3/BURDUR2/DEBI/01May2025/30Minute/Q50/,False
55,BUR-BUR-MER-AKYAKA3,BURDUR2,DEBI,01May2025,30Minute,Q500,/BUR-BUR-MER-AKYAKA3/BURDUR2/DEBI/01May2025/30Minute/Q500/,False
56,BUR-BUR-MER-AKYAKA-T,BURDUR2,DEBI,01May2025,30Minute,Q10,/BUR-BUR-MER-AKYAKA-T/BURDUR2/DEBI/01May2025/30Minute/Q10/,False
57,BUR-BUR-MER-AKYAKA-T,BURDUR2,DEBI,01May2025,30Minute,Q100,/BUR-BUR-MER-AKYAKA-T/BURDUR2/DEBI/01May2025/30Minute/Q100/,False
58,BUR-BUR-MER-AKYAKA-T,BURDUR2,DEBI,01May2025,30Minute,Q1000,/BUR-BUR-MER-AKYAKA-T/BURDUR2/DEBI/01May2025/30Minute/Q1000/,False
59,BUR-BUR-MER-AKYAKA-T,BURDUR2,DEBI,01May2025,30Minute,Q2,/BUR-BUR-MER-AKYAKA-T/BURDUR2/DEBI/01May2025/30Minute/Q2/,False
60,BUR-BUR-MER-AKYAKA-T,BURDUR2,DEBI,01May2025,30Minute,Q25,/BUR-BUR-MER-AKYAKA-T/BURDUR2/DEBI/01May2025/30Minute/Q25/,False
61,BUR-BUR-MER-AKYAKA-T,BURDUR2,DEBI,01May2025,30Minute,Q5,/BUR-BUR-MER-AKYAKA-T/BURDUR2/DEBI/01May2025/30Minute/Q5/,False
62,BUR-BUR-MER-AKYAKA-T,BURDUR2,DEBI,01May2025,30Minute,Q50,/BUR-BUR-MER-AKYAKA-T/BURDUR2/DEBI/01May2025/30Minute/Q50/,False
63,BUR-BUR-MER-AKYAKA-T,BURDUR2,DEBI,01May2025,30Minute,Q500,/BUR-BUR-MER-AKYAKA-T/BURDUR2/DEBI/01May2025/30Minute/Q500/,False
64,BUR-BUR-MER-AMUSLUMLER1,BURDUR2,DEBI,02May2025,5Minute,Q10,/BUR-BUR-MER-AMUSLUMLER1/BURDUR2/DEBI/02May2025/5Minute/Q10/,False
65,BUR-BUR-MER-AMUSLUMLER1,BURDUR2,DEBI,02May2025,5Minute,Q100,/BUR-BUR-MER-AMUSLUMLER1/BURDUR2/DEBI/02May2025/5Minute/Q100/,False
66,BUR-BUR-MER-AMUSLUMLER1,BURDUR2,DEBI,02May2025,5Minute,Q1000,/BUR-BUR-MER-AMUSLUMLER1/BURDUR2/DEBI/02May2025/5Minute/Q1000/,False
67,BUR-BUR-MER-AMUSLUMLER1,BURDUR2,DEBI,02May2025,5Minute,Q2,/BUR-BUR-MER-AMUSLUMLER1/BURDUR2/DEBI/02May2025/5Minute/Q2/,False
68,BUR-BUR-MER-AMUSLUMLER1,BURDUR2,DEBI,02May2025,5Minute,Q25,/BUR-BUR-MER-AMUSLUMLER1/BURDUR2/DEBI/02May2025/5Minute/Q25/,False
69,BUR-BUR-MER-AMUSLUMLER1,BURDUR2,DEBI,02May2025,5Minute,Q5,/BUR-BUR-MER-AMUSLUMLER1/BURDUR2/DEBI/02May2025/5Minute/Q5/,False
70,BUR-BUR-MER-AMUSLUMLER1,BURDUR2,DEBI,02May2025,5Minute,Q50,/BUR-BUR-MER-AMUSLUMLER1/BURDUR2/DEBI/02May2025/5Minute/Q50/,False
71,BUR-BUR-MER-AMUSLUMLER1,BURDUR2,DEBI,02May2025,5Minute,Q500,/BUR-BUR-MER-AMUSLUMLER1/BURDUR2/DEBI/02May2025/5Minute/Q500/,False
72,BUR-BUR-MER-AMUSLUMLER2,BURDUR2,DEBI,01May2025,30Minute,Q10,/BUR-BUR-MER-AMUSLUMLER2/BURDUR2/DEBI/01May2025/30Minute/Q10/,False
73,BUR-BUR-MER-AMUSLUMLER2,BURDUR2,DEBI,01May2025,30Minute,Q100,/BUR-BUR-MER-AMUSLUMLER2/BURDUR2/DEBI/01May2025/30Minute/Q100/,False
74,BUR-BUR-MER-AMUSLUMLER2,BURDUR2,DEBI,01May2025,30Minute,Q1000,/BUR-BUR-MER-AMUSLUMLER2/BURDUR2/DEBI/01May2025/30Minute/Q1000/,False
75,BUR-BUR-MER-AMUSLUMLER2,BURDUR2,DEBI,01May2025,30Minute,Q2,/BUR-BUR-MER-AMUSLUMLER2/BURDUR2/DEBI/01May2025/30Minute/Q2/,False
76,BUR-BUR-MER-AMUSLUMLER2,BURDUR2,DEBI,01May2025,30Minute,Q25,/BUR-BUR-MER-AMUSLUMLER2/BURDUR2/DEBI/01May2025/30Minute/Q25/,False
77,BUR-BUR-MER-AMUSLUMLER2,BURDUR2,DEBI,01May2025,30Minute,Q5,/BUR-BUR-MER-AMUSLUMLER2/BURDUR2/DEBI/01May2025/30Minute/Q5/,False
78,BUR-BUR-MER-AMUSLUMLER2,BURDUR2,DEBI,01May2025,30Minute,Q50,/BUR-BUR-MER-AMUSLUMLER2/BURDUR2/DEBI/01May2025/30Minute/Q50/,False
79,BUR-BUR-MER-AMUSLUMLER2,BURDUR2,DEBI,01May2025,30Minute,Q500,/BUR-BUR-MER-AMUSLUMLER2/BURDUR2/DEBI/01May2025/30Minute/Q500/,False
80,BUR-BUR-MER-ASKERIYE1,BURDUR2,DEBI,01May2025,30Minute,Q10,/BUR-BUR-MER-ASKERIYE1/BURDUR2/DEBI/01May2025/30Minute/Q10/,False
81,BUR-BUR-MER-ASKERIYE1,BURDUR2,DEBI,01May2025,30Minute,Q100,/BUR-BUR-MER-ASKERIYE1/BURDUR2/DEBI/01May2025/30Minute/Q100/,False
82,BUR-BUR-MER-ASKERIYE1,BURDUR2,DEBI,01May2025,30Minute,Q1000,/BUR-BUR-MER-ASKERIYE1/BURDUR2/DEBI/01May2025/30Minute/Q1000/,False
83,BUR-BUR-MER-ASKERIYE1,BURDUR2,DEBI,01May2025,30Minute,Q2,/BUR-BUR-MER-ASKERIYE1/BURDUR2/DEBI/01May2025/30Minute/Q2/,False
84,BUR-BUR-MER-ASKERIYE1,BURDUR2,DEBI,01May2025,30Minute,Q25,/BUR-BUR-MER-ASKERIYE1/BURDUR2/DEBI/01May2025/30Minute/Q25/,False
85,BUR-BUR-MER-ASKERIYE1,BURDUR2,DEBI,01May2025,30Minute,Q5,/BUR-BUR-MER-ASKERIYE1/BURDUR2/DEBI/01May2025/30Minute/Q5/,False
86,BUR-BUR-MER-ASKERIYE1,BURDUR2,DEBI,01May2025,30Minute,Q50,/BUR-BUR-MER-ASKERIYE1/BURDUR2/DEBI/01May2025/30Minute/Q50/,False
87,BUR-BUR-MER-ASKERIYE1,BURDUR2,DEBI,01May2025,30Minute,Q500,/BUR-BUR-MER-ASKERIYE1/BURDUR2/DEBI/01May2025/30Minute/Q500/,False
88,BUR-BUR-MER-ASKERIYE2,BURDUR2,DEBI,01May2025,30Minute,Q10,/BUR-BUR-MER-ASKERIYE2/BURDUR2/DEBI/01May2025/30Minute/Q10/,False
89,BUR-BUR-MER-ASKERIYE2,BURDUR2,DEBI,01May2025,30Minute,Q100,/BUR-BUR-MER-ASKERIYE2/BURDUR2/DEBI/01May2025/30Minute/Q100/,False
90,BUR-BUR-MER-ASKERIYE2,BURDUR2,DEBI,01May2025,30Minute,Q1000,/BUR-BUR-MER-ASKERIYE2/BURDUR2/DEBI/01May2025/30Minute/Q1000/,False
91,BUR-BUR-MER-ASKERIYE2,BURDUR2,DEBI,01May2025,30Minute,Q2,/BUR-BUR-MER-ASKERIYE2/BURDUR2/DEBI/01May2025/30Minute/Q2/,False
92,BUR-BUR-MER-ASKERIYE2,BURDUR2,DEBI,01May2025,30Minute,Q25,/BUR-BUR-MER-ASKERIYE2/BURDUR2/DEBI/01May2025/30Minute/Q25/,False
93,BUR-BUR-MER-ASKERIYE2,BURDUR2,DEBI,01May2025,30Minute,Q5,/BUR-BUR-MER-ASKERIYE2/BURDUR2/DEBI/01May2025/30Minute/Q5/,False
94,BUR-BUR-MER-ASKERIYE2,BURDUR2,DEBI,01May2025,30Minute,Q50,/BUR-BUR-MER-ASKERIYE2/BURDUR2/DEBI/01May2025/30Minute/Q50/,False
95,BUR-BUR-MER-ASKERIYE2,BURDUR2,DEBI,01May2025,30Minute,Q500,/BUR-BUR-MER-ASKERIYE2/BURDUR2/DEBI/01May2025/30Minute/Q500/,False
96,BUR-BUR-MER-ASKERIYE2A,BURDUR2,DEBI,01May2025,30Minute,Q10,/BUR-BUR-MER-ASKERIYE2A/BURDUR2/DEBI/01May2025/30Minute/Q10/,False
97,BUR-BUR-MER-ASKERIYE2A,BURDUR2,DEBI,01May2025,30Minute,Q100,/BUR-BUR-MER-ASKERIYE2A/BURDUR2/DEBI/01May2025/30Minute/Q100/,False
98,BUR-BUR-MER-ASKERIYE2A,BURDUR2,DEBI,01May2025,30Minute,Q1000,/BUR-BUR-MER-ASKERIYE2A/BURDUR2/DEBI/01May2025/30Minute/Q1000/,False
99,BUR-BUR-MER-ASKERIYE2A,BURDUR2,DEBI,01May2025,30Minute,Q2,/BUR-BUR-MER-ASKERIYE2A/BURDUR2/DEBI/01May2025/30Minute/Q2/,False
100,BUR-BUR-MER-ASKERIYE2A,BURDUR2,DEBI,01May2025,30Minute,Q25,/BUR-BUR-MER-ASKERIYE2A/BURDUR2/DEBI/01May2025/30Minute/Q25/,False
101,BUR-BUR-MER-ASKERIYE2A,BURDUR2,DEBI,01May2025,30Minute,Q5,/BUR-BUR-MER-ASKERIYE2A/BURDUR2/DEBI/01May2025/30Minute/Q5/,False
102,BUR-BUR-MER-ASKERIYE2A,BURDUR2,DEBI,01May2025,30Minute,Q50,/BUR-BUR-MER-ASKERIYE2A/BURDUR2/DEBI/01May2025/30Minute/Q50/,False
103,BUR-BUR-MER-ASKERIYE2A,BURDUR2,DEBI,01May2025,30Minute,Q500,/BUR-BUR-MER-ASKERIYE2A/BURDUR2/DEBI/01May2025/30Minute/Q500/,False
104,BUR-BUR-MER-ASKERIYE3,BURDUR2,DEBI,02May2025,5Minute,Q10,/BUR-BUR-MER-ASKERIYE3/BURDUR2/DEBI/02May2025/5Minute/Q10/,False
105,BUR-BUR-MER-ASKERIYE3,BURDUR2,DEBI,02May2025,5Minute,Q100,/BUR-BUR-MER-ASKERIYE3/BURDUR2/DEBI/02May2025/5Minute/Q100/,False
106,BUR-BUR-MER-ASKERIYE3,BURDUR2,DEBI,02May2025,5Minute,Q1000,/BUR-BUR-MER-ASKERIYE3/BURDUR2/DEBI/02May2025/5Minute/Q1000/,False
