River,Reach,Station,X,Y,Z
ATATURK,ATATURK-T,9,521909.38,4175133.08,940.33
ATATURK,ATATURK-T,9,521911.6,4175133.17,940.22
ATATURK,ATATURK-T,9,521913.45,4175133.25,940.75
ATATURK,ATATURK-T,9,521913.93,4175133.27,940.75
ATATURK,ATATURK-T,9,521913.93,4175133.27,937.96
ATATURK,ATATURK-T,9,521913.93,4175133.27,937.96
ATATURK,ATATURK-T,9,521915.36,4175133.33,937.96
ATATURK,ATATURK-T,9,521917.42,4175133.42,937.96
ATATURK,ATATURK-T,9,521917.42,4175133.42,937.96
ATATURK,ATATURK-T,9,521917.42,4175133.42,940.75
ATATURK,ATATURK-T,9,521917.79,4175133.43,940.75
ATATURK,ATATURK-T,9,521920.49,4175133.54,940.31
ATATURK,ATATURK-T,9,521927.1,4175133.82,940.31
ATATURK,ATATURK-T,9,521932.49,4175134.04,939.84
ATATURK,ATATURK-T,10,521907.19,4175182.57,940.86
ATATURK,ATATURK-T,10,521912.1,4175181.87,939.81
ATATURK,ATATURK-T,10,521915.69,4175181.36,939.04
ATATURK,ATATURK-T,10,521919.02,4175180.88,938.57
ATATURK,ATATURK-T,10,521921.57,4175180.52,938.63
ATATURK,ATATURK-T,10,521922.03,4175180.45,938.63
ATATURK,ATATURK-T,10,521922.03,4175180.45,935.96
ATATURK,ATATURK-T,10,521922.03,4175180.45,935.96
ATATURK,ATATURK-T,10,521923.5,4175180.24,935.96
ATATURK,ATATURK-T,10,521925.55,4175179.95,935.96
ATATURK,ATATURK-T,10,521925.55,4175179.95,935.96
ATATURK,ATATURK-T,10,521925.55,4175179.95,938.63
ATATURK,ATATURK-T,10,521925.99,4175179.88,938.63
ATATURK,ATATURK-T,10,521926.71,4175179.78,938.34
ATATURK,ATATURK-T,10,521928.34,4175179.55,938.34
ATATURK,ATATURK-T,10,521931.19,4175179.14,938.4
ATATURK,ATATURK-T,11,521907.1,4175183.14,941.16
ATATURK,ATATURK-T,11,521909.82,4175182.75,940.22
ATATURK,ATATURK-T,11,521912.87,4175182.31,939.51
ATATURK,ATATURK-T,11,521915.8,4175181.89,938.87
ATATURK,ATATURK-T,11,521919.19,4175181.41,938.34
ATATURK,ATATURK-T,11,521921.7,4175181.05,938.04
ATATURK,ATATURK-T,11,521922.06,4175181,938.04
ATATURK,ATATURK-T,11,521922.06,4175181,935.49
ATATURK,ATATURK-T,11,521922.06,4175181,935.49
ATATURK,ATATURK-T,11,521923.35,4175180.81,935.49
ATATURK,ATATURK-T,11,521925.68,4175180.48,935.49
ATATURK,ATATURK-T,11,521925.68,4175180.48,935.49
ATATURK,ATATURK-T,11,521925.68,4175180.48,938.04
ATATURK,ATATURK-T,11,521926.07,4175180.42,938.04
ATATURK,ATATURK-T,11,521927.82,4175180.17,938.34
ATATURK,ATATURK-T,11,521929.7,4175179.9,938.34
ATATURK,ATATURK-T,11,521931.26,4175179.68,938.28
