catalog_row,A,B,C,D,E,F,pathname,selected
64,BUR-AFY-BAS-CEVLIK1,ACIGOL,DEBI,01May2025,30Minute,Q10,/BUR-AFY-BAS-CEVLIK1/ACIGOL/DEBI/01May2025/30Minute/Q10/,False
65,BUR-AFY-BAS-CEVLIK1,ACIGOL,DEBI,01May2025,30Minute,Q100,/BUR-AFY-BAS-CEVLIK1/ACIGOL/DEBI/01May2025/30Minute/Q100/,False
66,BUR-AFY-BAS-CEVLIK1,ACIGOL,DEBI,01May2025,30Minute,Q1000,/BUR-AFY-BAS-CEVLIK1/ACIGOL/DEBI/01May2025/30Minute/Q1000/,False
67,BUR-AFY-BAS-CEVLIK1,ACIGOL,DEBI,01May2025,30Minute,Q2,/BUR-AFY-BAS-CEVLIK1/ACIGOL/DEBI/01May2025/30Minute/Q2/,False
68,BUR-AFY-BAS-CEVLIK1,ACIGOL,DEBI,01May2025,30Minute,Q25,/BUR-AFY-BAS-CEVLIK1/ACIGOL/DEBI/01May2025/30Minute/Q25/,False
69,BUR-AFY-BAS-CEVLIK1,ACIGOL,DEBI,01May2025,30Minute,Q5,/BUR-AFY-BAS-CEVLIK1/ACIGOL/DEBI/01May2025/30Minute/Q5/,False
70,BUR-AFY-BAS-CEVLIK1,ACIGOL,DEBI,01May2025,30Minute,Q50,/BUR-AFY-BAS-CEVLIK1/ACIGOL/DEBI/01May2025/30Minute/Q50/,False
71,BUR-AFY-BAS-CEVLIK1,ACIGOL,DEBI,01May2025,30Minute,Q500,/BUR-AFY-BAS-CEVLIK1/ACIGOL/DEBI/01May2025/30Minute/Q500/,False
72,BUR-AFY-BAS-CEVLIK2,ACIGOL,DEBI,01May2025,30Minute,Q10,/BUR-AFY-BAS-CEVLIK2/ACIGOL/DEBI/01May2025/30Minute/Q10/,False
73,BUR-AFY-BAS-CEVLIK2,ACIGOL,DEBI,01May2025,30Minute,Q100,/BUR-AFY-BAS-CEVLIK2/ACIGOL/DEBI/01May2025/30Minute/Q100/,False
74,BUR-AFY-BAS-CEVLIK2,ACIGOL,DEBI,01May2025,30Minute,Q1000,/BUR-AFY-BAS-CEVLIK2/ACIGOL/DEBI/01May2025/30Minute/Q1000/,False
75,BUR-AFY-BAS-CEVLIK2,ACIGOL,DEBI,01May2025,30Minute,Q2,/BUR-AFY-BAS-CEVLIK2/ACIGOL/DEBI/01May2025/30Minute/Q2/,False
76,BUR-AFY-BAS-CEVLIK2,ACIGOL,DEBI,01May2025,30Minute,Q25,/BUR-AFY-BAS-CEVLIK2/ACIGOL/DEBI/01May2025/30Minute/Q25/,False
77,BUR-AFY-BAS-CEVLIK2,ACIGOL,DEBI,01May2025,30Minute,Q5,/BUR-AFY-BAS-CEVLIK2/ACIGOL/DEBI/01May2025/30Minute/Q5/,False
78,BUR-AFY-BAS-CEVLIK2,ACIGOL,DEBI,01May2025,30Minute,Q50,/BUR-AFY-BAS-CEVLIK2/ACIGOL/DEBI/01May2025/30Minute/Q50/,False
79,BUR-AFY-BAS-CEVLIK2,ACIGOL,DEBI,01May2025,30Minute,Q500,/BUR-AFY-BAS-CEVLIK2/ACIGOL/DEBI/01May2025/30Minute/Q500/,False
80,BUR-AFY-BAS-CIGRI1,ACIGOL,DEBI,01May2025,30Minute,Q10,/BUR-AFY-BAS-CIGRI1/ACIGOL/DEBI/01May2025/30Minute/Q10/,False
81,BUR-AFY-BAS-CIGRI1,ACIGOL,DEBI,01May2025,30Minute,Q100,/BUR-AFY-BAS-CIGRI1/ACIGOL/DEBI/01May2025/30Minute/Q100/,False
82,BUR-AFY-BAS-CIGRI1,ACIGOL,DEBI,01May2025,30Minute,Q1000,/BUR-AFY-BAS-CIGRI1/ACIGOL/DEBI/01May2025/30Minute/Q1000/,False
83,BUR-AFY-BAS-CIGRI1,ACIGOL,DEBI,01May2025,30Minute,Q2,/BUR-AFY-BAS-CIGRI1/ACIGOL/DEBI/01May2025/30Minute/Q2/,False
84,BUR-AFY-BAS-CIGRI1,ACIGOL,DEBI,01May2025,30Minute,Q25,/BUR-AFY-BAS-CIGRI1/ACIGOL/DEBI/01May2025/30Minute/Q25/,False
85,BUR-AFY-BAS-CIGRI1,ACIGOL,DEBI,01May2025,30Minute,Q5,/BUR-AFY-BAS-CIGRI1/ACIGOL/DEBI/01May2025/30Minute/Q5/,False
86,BUR-AFY-BAS-CIGRI1,ACIGOL,DEBI,01May2025,30Minute,Q50,/BUR-AFY-BAS-CIGRI1/ACIGOL/DEBI/01May2025/30Minute/Q50/,False
87,BUR-AFY-BAS-CIGRI1,ACIGOL,DEBI,01May2025,30Minute,Q500,/BUR-AFY-BAS-CIGRI1/ACIGOL/DEBI/01May2025/30Minute/Q500/,False
88,BUR-AFY-BAS-CIGRI2,ACIGOL,DEBI,01May2025,30Minute,Q10,/BUR-AFY-BAS-CIGRI2/ACIGOL/DEBI/01May2025/30Minute/Q10/,False
89,BUR-AFY-BAS-CIGRI2,ACIGOL,DEBI,01May2025,30Minute,Q100,/BUR-AFY-BAS-CIGRI2/ACIGOL/DEBI/01May2025/30Minute/Q100/,False
90,BUR-AFY-BAS-CIGRI2,ACIGOL,DEBI,01May2025,30Minute,Q1000,/BUR-AFY-BAS-CIGRI2/ACIGOL/DEBI/01May2025/30Minute/Q1000/,False
91,BUR-AFY-BAS-CIGRI2,ACIGOL,DEBI,01May2025,30Minute,Q2,/BUR-AFY-BAS-CIGRI2/ACIGOL/DEBI/01May2025/30Minute/Q2/,False
92,BUR-AFY-BAS-CIGRI2,ACIGOL,DEBI,01May2025,30Minute,Q25,/BUR-AFY-BAS-CIGRI2/ACIGOL/DEBI/01May2025/30Minute/Q25/,False
93,BUR-AFY-BAS-CIGRI2,ACIGOL,DEBI,01May2025,30Minute,Q5,/BUR-AFY-BAS-CIGRI2/ACIGOL/DEBI/01May2025/30Minute/Q5/,False
94,BUR-AFY-BAS-CIGRI2,ACIGOL,DEBI,01May2025,30Minute,Q50,/BUR-AFY-BAS-CIGRI2/ACIGOL/DEBI/01May2025/30Minute/Q50/,False
95,BUR-AFY-BAS-CIGRI2,ACIGOL,DEBI,01May2025,30Minute,Q500,/BUR-AFY-BAS-CIGRI2/ACIGOL/DEBI/01May2025/30Minute/Q500/,False
96,BUR-AFY-BAS-CIGRI3,ACIGOL,DEBI,01May2025,30Minute,Q10,/BUR-AFY-BAS-CIGRI3/ACIGOL/DEBI/01May2025/30Minute/Q10/,False
97,BUR-AFY-BAS-CIGRI3,ACIGOL,DEBI,01May2025,30Minute,Q100,/BUR-AFY-BAS-CIGRI3/ACIGOL/DEBI/01May2025/30Minute/Q100/,False
98,BUR-AFY-BAS-CIGRI3,ACIGOL,DEBI,01May2025,30Minute,Q1000,/BUR-AFY-BAS-CIGRI3/ACIGOL/DEBI/01May2025/30Minute/Q1000/,False
99,BUR-AFY-BAS-CIGRI3,ACIGOL,DEBI,01May2025,30Minute,Q2,/BUR-AFY-BAS-CIGRI3/ACIGOL/DEBI/01May2025/30Minute/Q2/,False
100,BUR-AFY-BAS-CIGRI3,ACIGOL,DEBI,01May2025,30Minute,Q25,/BUR-AFY-BAS-CIGRI3/ACIGOL/DEBI/01May2025/30Minute/Q25/,False
101,BUR-AFY-BAS-CIGRI3,ACIGOL,DEBI,01May2025,30Minute,Q5,/BUR-AFY-BAS-CIGRI3/ACIGOL/DEBI/01May2025/30Minute/Q5/,False
102,BUR-AFY-BAS-CIGRI3,ACIGOL,DEBI,01May2025,30Minute,Q50,/BUR-AFY-BAS-CIGRI3/ACIGOL/DEBI/01May2025/30Minute/Q50/,False
103,BUR-AFY-BAS-CIGRI3,ACIGOL,DEBI,01May2025,30Minute,Q500,/BUR-AFY-BAS-CIGRI3/ACIGOL/DEBI/01May2025/30Minute/Q500/,False
104,BUR-AFY-BAS-CIGRI-T,ACIGOL,DEBI,01May2025,30Minute,Q10,/BUR-AFY-BAS-CIGRI-T/ACIGOL/DEBI/01May2025/30Minute/Q10/,False
105,BUR-AFY-BAS-CIGRI-T,ACIGOL,DEBI,01May2025,30Minute,Q100,/BUR-AFY-BAS-CIGRI-T/ACIGOL/DEBI/01May2025/30Minute/Q100/,False
