River,Reach,Station,X,Y,Z
BUR-ISP-KEC-ARDICLI,BUR-ISP-KEC-ARDICLI,6,517993.89,4185664.77,903.18
BUR-ISP-KEC-ARDICLI,BUR-ISP-KEC-ARDICLI,6,517992.97,4185664.11,902.47
BUR-ISP-KEC-ARDICLI,BUR-ISP-KEC-ARDICLI,6,517991.31,4185662.91,902.36
BUR-ISP-KEC-ARDICLI,BUR-ISP-KEC-ARDICLI,6,517989.82,4185661.83,902.47
BUR-ISP-KEC-ARDICLI,BUR-ISP-KEC-ARDICLI,6,517988.85,4185661.13,902.94
BUR-ISP-KEC-ARDICLI,BUR-ISP-KEC-ARDICLI,6,517985.49,4185658.70,902.59
BUR-ISP-KEC-ARDICLI,BUR-ISP-KEC-ARDICLI,6,517982.43,4185656.49,902.36
BUR-ISP-KEC-ARDICLI,BUR-ISP-KEC-ARDICLI,6,517979.33,4185654.25,902.94
BUR-ISP-KEC-ARDICLI,BUR-ISP-KEC-ARDICLI,7,518045.82,4185622.20,898.95
BUR-ISP-KEC-ARDICLI,BUR-ISP-KEC-ARDICLI,7,518040.40,4185619.73,899.07
BUR-ISP-KEC-ARDICLI,BUR-ISP-KEC-ARDICLI,7,518036.17,4185617.81,899.07
BUR-ISP-KEC-ARDICLI,BUR-ISP-KEC-ARDICLI,7,518031.59,4185615.73,899.42
BUR-ISP-KEC-ARDICLI,BUR-ISP-KEC-ARDICLI,7,518030.70,4185615.32,899.24
BUR-ISP-KEC-ARDICLI,BUR-ISP-KEC-ARDICLI,7,518030.40,4185615.19,899.18
BUR-ISP-KEC-ARDICLI,BUR-ISP-KEC-ARDICLI,7,518028.65,4185614.39,899.18
BUR-ISP-KEC-ARDICLI,BUR-ISP-KEC-ARDICLI,7,518027.32,4185613.79,899.89
BUR-ISP-KEC-ARDICLI,BUR-ISP-KEC-ARDICLI,7,518022.84,4185611.75,899.54
BUR-ISP-KEC-ARDICLI,BUR-ISP-KEC-ARDICLI,7,518016.25,4185608.75,899.65
BUR-ISP-KEC-ARDICLI,BUR-ISP-KEC-ARDICLI,7,518011.82,4185606.74,899.54
BUR-ISP-KEC-ARDICLI,BUR-ISP-KEC-ARDICLI,8,518051.99,4185615.08,898.36
BUR-ISP-KEC-ARDICLI,BUR-ISP-KEC-ARDICLI,8,518046.48,4185611.63,898.60
BUR-ISP-KEC-ARDICLI,BUR-ISP-KEC-ARDICLI,8,518042.53,4185609.16,898.71
BUR-ISP-KEC-ARDICLI,BUR-ISP-KEC-ARDICLI,8,518039.13,4185607.02,899.18
BUR-ISP-KEC-ARDICLI,BUR-ISP-KEC-ARDICLI,8,518037.78,4185606.18,898.45
BUR-ISP-KEC-ARDICLI,BUR-ISP-KEC-ARDICLI,8,518036.07,4185605.11,898.36
BUR-ISP-KEC-ARDICLI,BUR-ISP-KEC-ARDICLI,8,518035.73,4185604.90,898.45
BUR-ISP-KEC-ARDICLI,BUR-ISP-KEC-ARDICLI,8,518034.97,4185604.42,899.18
BUR-ISP-KEC-ARDICLI,BUR-ISP-KEC-ARDICLI,8,518030.29,4185601.50,898.60
BUR-ISP-KEC-ARDICLI,BUR-ISP-KEC-ARDICLI,8,518026.14,4185598.89,898.48
BUR-ISP-KEC-ARDICLI,BUR-ISP-KEC-ARDICLI,8,518022.34,4185596.51,898.71
