SN,Easting,Northing,Bed width,Bank slope,Bed elevation,Type
164,616421.733,3097693.006,5.2,0,632.4805,Normal
165,616420.734,3097692.959,5.2,0,632.48,Normal
166,616419.736,3097692.911,5.2,0,632.4795,Normal
167,616418.737,3097692.864,5.2,0,632.479,Normal
168,616417.738,3097692.816,5.2,0,632.4785,Normal
169,616416.739,3097692.768,5.2,0,632.478,Normal
170,616415.74,3097692.721,5.2,0,632.4775,Normal
171,616414.741,3097692.673,5.2,0,632.477,Normal
172,616413.742,3097692.626,5.2,0,632.4765,Normal
173,616412.744,3097692.578,5.2,0,632.476,Normal
174,616411.745,3097692.53,5.2,0,632.4755,Normal
175,616410.746,3097692.483,5.2,0,632.475,Normal
176,616409.747,3097692.435,5.2,0,632.4745,Normal
177,616408.748,3097692.387,5.2,0,632.474,Normal
178,616407.749,3097692.34,5.2,0,632.4735,Normal
179,616406.75,3097692.292,5.2,0,632.473,Normal
180,616405.751,3097692.245,5.2,0,632.4725,Normal
181,616404.753,3097692.197,5.2,0,632.472,Normal
182,616403.754,3097692.149,5.2,0,632.4715,Normal
183,616402.755,3097692.102,5.2,0,632.471,Normal
184,616401.756,3097692.054,5.2,0,632.4705,Normal
185,616400.757,3097692.006,5.2,0,632.47,Normal
186,616399.758,3097691.959,5.2,0,632.4695,Normal
187,616398.759,3097691.911,5.2,0,632.469,Normal
188,616397.761,3097691.864,5.2,0,632.4685,Normal
189,616396.762,3097691.816,5.2,0,632.468,Normal
190,616395.763,3097691.768,5.2,0,632.4675,Normal
191,616394.764,3097691.721,5.2,0,632.467,Normal
192,616393.765,3097691.673,5.2,0,632.4665,Normal
193,616392.766,3097691.626,5.2,0,632.466,Normal
194,616391.767,3097691.578,5.2,0,632.4655,Normal
195,616390.769,3097691.53,5.2,0,632.465,Normal
196,616389.77,3097691.483,5.2,0,632.4645,Normal
197,616388.771,3097691.435,5.2,0,632.464,Normal
198,616387.772,3097691.387,5.2,0,632.4635,Normal
199,616386.773,3097691.34,5.2,0,632.463,Normal
200,616385.774,3097691.292,5.2,0,632.4625,Normal
201,616384.775,3097691.245,5.2,0,632.462,Normal
202,616383.776,3097691.197,5.2,0,632.4615,Normal
203,616382.778,3097691.149,5.2,0,632.461,Normal
204,616381.779,3097691.102,5.2,0,632.4605,Normal
205,616380.78,3097691.054,5.2,0,632.46,Normal
206,616379.781,3097691.006,5.2,0,632.4595,Normal
207,616378.782,3097690.959,5.2,0,632.459,Normal
208,616377.783,3097690.911,5.2,0,632.4585,Normal
209,616376.784,3097690.864,5.2,0,632.458,Normal
210,616375.786,3097690.816,5.2,0,632.4575,Normal
211,616374.787,3097690.768,5.2,0,632.457,Normal
212,616373.788,3097690.721,5.2,0,632.4565,Normal
213,616372.789,3097690.673,5.2,0,632.456,Normal
214,616371.79,3097690.626,5.2,0,632.4555,Normal
215,616370.791,3097690.578,5.2,0,632.455,Normal
216,616369.792,3097690.53,5.2,0,632.4545,Normal
217,616368.793,3097690.483,5.2,0,632.454,Normal
218,616367.795,3097690.435,5.2,0,632.4535,Normal
219,616366.796,3097690.387,5.2,0,632.453,Normal
220,616365.797,3097690.34,5.2,0,632.4525,Normal
221,616364.798,3097690.292,5.2,0,632.452,Normal
222,616363.799,3097690.245,5.2,0,632.4515,Normal
223,616362.8,3097690.197,5.2,0,632.451,Normal
224,616361.801,3097690.149,5.2,0,632.4505,Normal
225,616360.803,3097690.102,5.2,0,632.45,Normal
226,616359.804,3097690.054,5.2,0,632.4495,Normal
227,616358.805,3097690.006,5.2,0,632.449,Normal
228,616357.806,3097689.959,5.2,0,632.4485,Normal
229,616356.807,3097689.911,5.2,0,632.448,Normal
230,616355.808,3097689.864,5.2,0,632.4475,Normal
231,616354.809,3097689.816,5.2,0,632.447,Normal
232,616353.81,3097689.768,5.2,0,632.4465,Normal
233,616352.812,3097689.721,5.2,0,632.446,Normal
234,616351.813,3097689.673,5.2,0,632.4455,Normal
235,616350.814,3097689.626,5.2,0,632.445,Normal
236,616349.815,3097689.578,5.2,0,632.4445,Normal
237,616348.816,3097689.53,5.2,0,632.444,Normal
238,616347.817,3097689.483,5.2,0,632.4435,Normal
239,616346.818,3097689.435,5.2,0,632.443,Normal
240,616345.82,3097689.387,5.2,0,632.4425,Normal
241,616344.821,3097689.34,5.2,0,632.442,Normal
242,616343.822,3097689.292,5.2,0,632.4415,Normal
243,616342.823,3097689.245,5.2,0,632.441,Normal
244,616341.824,3097689.197,5.2,0,632.4405,Normal
245,616340.825,3097689.149,4.796,0,632.44,Normal
246,616339.827,3097689.09,4.527,0,632.4395,Normal
247,616338.831,3097689.006,4.527,0,632.439,Normal
248,616337.837,3097688.896,4.527,0,632.4385,Normal
249,616336.846,3097688.762,4.527,0,632.438,Normal
250,616335.858,3097688.604,4.527,0,632.4375,Normal
251,616334.875,3097688.42,4.527,0,632.437,Normal
252,616333.897,3097688.212,4.527,0,632.4365,Normal
253,616332.925,3097687.98,4.527,0,632.436,Normal
254,616331.958,3097687.724,4.527,0,632.4355,Normal
255,616330.998,3097687.443,4.527,0,632.435,Normal
256,616330.046,3097687.139,4.527,0,632.4345,Normal
257,616329.101,3097686.81,4.527,0,632.434,Normal
258,616328.165,3097686.459,4.527,0,632.4335,Normal
259,616327.238,3097686.084,4.527,0,632.433,Normal
260,616326.321,3097685.686,4.527,0,632.4325,Normal
